Bucket0,Bucket1,Bucket2,Bucket3
 ,426401,12,53169
 ,426401,21,21077
 ,674861,26,14560
 ,674861,29,25168
 ,570442,21,25757
 ,570442,43,9023
 ,452155,18,15580
 ,452155,61,21433
 ,277749,44,24035
 ,277749,55,14247
 ,346356,58,12449
 ,346356,30,17411
 ,228724,35,14184
 ,228724,50,16692
 ,970960,35,11199
 ,970960,29,11627
 ,1234801,30,11349
 ,1234801,27,10203
 ,2015956,28,4612
 ,2015956,34,6108
 ,1307661,33,9015
 ,1307661,54,5863
 ,424898,55,4038
 ,424898,38,7225
 ,1015599,25,15334
 ,1015599,35,10544
 ,725389,18,5845
 ,725389,16,14294
 ,436069,8,13380
 ,436069,2,36339
 ,492559,1,151118
 ,492559, , 
 ,710844, , 
 ,710844, , 
 ,1023496, , 
 ,1023496, , 
 ,442869, , 
 ,442869, , 
 ,393128, , 
 ,393128, , 
 ,1073075, , 
 ,1073075, , 
 ,965742, , 
 ,965742, , 
 ,811237, , 
 ,811237, , 
 ,628837, , 
 ,628837, , 
 ,782094, , 
 ,782094, , 
 ,726418, , 
 ,726418, , 
 ,245560, , 
 ,245560, , 
 ,549852, , 
 ,549852, , 
 ,255583, , 
 ,255583, , 
 ,429863, , 
 ,429863, , 
 ,249860, , 
 ,249860, , 
