Bucket0,Bucket1,Bucket2,Bucket3,Bucket4
 ,1822352,12,151862,361733
 ,663972,21,31617,1019732
 ,816535,26,31405,1047750
 ,1463047,29,50449,876083
 ,635704,21,30271,701765
 ,511490,43,11895,435315
 ,469701,18,26094,504772
 ,1516629,61,24862,1187514
 ,919462,44,20896,1315414
 ,1341142,55,24384,2162398
 ,983197,58,16951,1024604
 ,316463,30,10548,274673
 ,679726,35,19420,1137906
 ,464865,50,9297,470692
 ,350124,35,10003,412838
 ,175383,29,6047,325595
 ,219172,30,7305,471037
 ,444308,27,16455,1395033
 ,240245,28,8580,735637
 ,725927,34,21350,569654
 ,217891,33,6602,674771
 ,423832,54,7848,1138583
 ,371773,55,6759,1062689
 ,608923,38,16024,1278381
 ,427821,25,17112,903871
 ,613779,35,17536,1068424
 ,210074,18,11670,443566
 ,134212,16,8388,319541
 ,145686,8,18210,387810
 ,105409,2,52704,633507
 ,69473,1,69473,84480
