Bucket0,Bucket1,Bucket2,Bucket3,Bucket4,Bucket5
2462194,1,2462194,259701,30,8656
3697285,1,3697285,1178689,68,17333
978745,1,978745,409538,66,6205
5409356,1,5409356,204403,46,4443
2055197,1,2055197,623849,54,11552
2148735,1,2148735,404783,85,4762
1098128,1,1098128,332027,58,5724
4331931,1,4331931,767988,166,4626
3228970,1,3228970,725244,152,4771
2023563,1,2023563,759503,277,2741
2587193,1,2587193,783172,252,3107
940492,1,940492,169829,53,3204
2785567,1,2785567,834716,100,8347
1910426,1,1910426,430697,169,2548
1854347,1,1854347,449791,102,4409
754230,1,754230,264073,100,2640
1117736,1,1117736,438915,146,3006
1913714,1,1913714,1067451,53,20140
1019719,1,1019719,536825,180,2982
1855076,1,1855076,491849,129,3812
2116470,1,2116470,889354,91,9773
2851009,1,2851009,1158205,324,3574
3370071,1,3370071,1404965,394,3565
1615270,1,1615270,784691,148,5301
1213349,1,1213349,1120471,111,10094
1182437,1,1182437,765906,100,7659
399837,1,399837,282989,103,2747
336772,1,336772,231602,21,11028
250922,1,250922,193456,5,38691
502893,1,502893,376065,1,376065
137518,1,137518,77143,1,77143
