Bucket0,Bucket1,Bucket2,Bucket3,Bucket4,Bucket5,Bucket6,Bucket7,Bucket8,Bucket9,Bucket10,Bucket11,Bucket12,Bucket13,Bucket14,Bucket15,Bucket16,Bucket17,Bucket18,Bucket19,Bucket20,Bucket21,Bucket22,Bucket23,Bucket24,Bucket25,Bucket26,Bucket27,Bucket28,Bucket29,Bucket30,Bucket31,Bucket32,Bucket33,Bucket34,Bucket35,Bucket36,Bucket37,Bucket38,Bucket39,Bucket40,Bucket41
475625700,290428300,281631600,158477500,129934200,151656300,161989300,174707800,156574800,154122400,140428700,152359500,148924100,160753800,199145600,160494800,148908300,132274200,145217600,133663800,154039200,24317,36265,36265,22360,22360,20454,22974,22974,22974,22362,22362,22410,22410,24214,24214,24214,24214,24317,24317,24317,24317
103782200,59646300,65394500,87615300,67406200,64596100,86289000,94763900,97911500,85963900,97054900,89065500,93362900,94334100,93568100,84024800,92279200,97980000,91986400,94898700,100589700,12549,3948,3948,8699,7275,7275,10171,11758,11758,11844,11844,12301,12301,12301,12477,12477,12477,12549,12549,12549,12549
77209500,73515300,75729900,77392900,59875600,87902400,86303800,90372600,101915800,87609500,95981600,96405600,130360700,96951600,92760400,219900500,162996600,126229800,256651400,362911600,314160400,12486,9072,9072,9182,9182,11746,11854,11854,12366,12408,12408,12486,12486,12486,12486,12486,12486,12486,12486,12486,12486
87947100,91999600,75253900,70463000,94017000,78815100,77228500,79632500,79579500,73659000,81257400,68284400,94574800,77390800,83273100,76935300,121833800,122150900,83292200,81409200,66660800,11141,9321,9321,10745,10745,10744,10809,10928,10928,11067,11067,11067,11141,11141,11141,11141,11141,11141,11141,11141,11141
72870200,61224300,80436800,80641000,82334300,130052700,108527000,115526100,66542400,68017900,95519000,72779800,74134900,65690500,98013800,79462200,89483700,69281700,69655200,86269500,67410500,9344,7519,7553,8675,8764,8675,8874,9264,9264,9344,9344,9344,9344,9344,9344,9344,9344,9344,9344,9344,9344
81751800,66000600,79231800,47368400,47935000,79536700,79227200,86507200,76069100,63754900,91190800,78188500,81525400,66439500,83280000,96157800,96593300,83604800,93094300,92118700,79589100,11214,9121,9527,6460,6346,10785,10995,11025,11025,11214,11214,11214,11214,11214,11214,11214,11214,11214,11214,11214,11214
31698500,40147500,39872800,30077300,47260000,32517300,47990700,31746000,31647100,61076300,38083100,40897800,38287900,31526500,31879100,31800600,47351100,35372500,31082700,57228400,47398500,3561,2681,3515,3577,3577,3506,3561,3561,3561,3561,3561,3561,3561,3561,3561,3561,3561,3561,3561,3561,3561
31998500,31555400,38003200,31988500,32549100,29999800,33997300,45542600,35999900,33014500,49208000,30332900,35298200,33898000,29550500,31548800,31620100,47402300,33833000,44207000,31525200,3136,3110,3136,3136,3136,3136,3136,3136,3136,3136,3136,3136,3136,3136,3136,3136,3136,3136,3136,3136,3136
31209100,31658800,31706800,32150100,31287400,31580600,16108000,31967600,31704100,15748000,37622000,25841600,15941500,31720000,31612900,31714700,15736200,31663100,31777800,15790800,36517700,1984,1293,1774,1910,1962,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984
248197400,34477400,66009900,126827300,260499000,392018600,539536600,444886700,348935700,233800300,295767400,393761600,280894100,454326700,354533600,281032000,242521600,206926400,224216900,221386800,237647100,21909,1426,5236,14842,21909,21909,21909,21909,21909,21909,21909,21909,21909,21909,21909,21909,21909,21909,21909,21909,21909
8004600,5425300,4037600,4032500,4034400,4390900,3523700,4019800,2031000,4020200,3676200,4025700,2011400,4021300,2009300,3761200,4021100,2010800,4020800,2010100,4271400,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321
4026600,3140200,2009300,2509500,4035200,4027700,2010700,4036800,1760200,6054000,2014600,4036400,2016600,3778500,2011100,4026500,2009200,2008800,3767700,2018000,4035800,275,274,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275
7718100,8475900,3867800,8270500,7568400,8550200,5545400,11814700,8657300,7046900,4026700,8065500,8054200,8052100,9817300,9811800,10059600,9846700,6040200,5787100,6047400,649,754,589,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649
4033100,14151700,8083100,8490000,7111000,15142300,13241300,9302000,8065400,9850100,8319800,9813900,7890400,9840200,8067300,9829700,11821500,8059800,5914500,0,21852200,683,559,542,610,663,670,683,683,683,683,683,683,683,683,683,683,683,683,683,683,683
15808200,17817400,17823200,9543700,13803600,14056900,13803600,15805500,13802200,13808500,16867600,8066200,20412000,13548800,19952600,23567700,20073300,13794000,19813900,13792900,15796100,1278,1583,1633,837,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278
11843800,15913100,15686200,9079600,14934600,7768000,17671100,12213600,11807600,15973700,13872400,12786300,13830900,11815100,11865500,9056100,16192600,14082000,11915200,13463600,14534000,1121,1169,1195,722,1121,1121,1121,1121,1121,1121,1121,1121,1121,1121,1121,1121,1121,1121,1121,1121,1121
39998500,51410700,41146000,25593900,29857000,27592300,26885500,24230000,18387000,26555800,23189800,13835800,31291700,20841600,20110400,18628400,22628000,23118400,5812500,35879500,11555900,2265,3070,3084,2180,2207,2256,2265,2265,2265,2265,2265,2265,2265,2265,2265,2265,2265,2265,2265,2265,2265
28879800,17052800,20413900,21017500,27872800,27906900,21264800,35935400,23562700,31453400,27254100,26345600,29296800,28264700,27691800,26056700,28281200,27780600,16082900,33828100,26639800,3116,1377,1409,2146,2882,3107,3116,3116,3116,3116,3116,3116,3116,3116,3116,3116,3116,3116,3116,3116,3116
24422000,20693300,33982600,18205300,13807700,19936400,26015700,15923500,15653200,31997600,15749500,29959900,21871800,11993600,31927100,21702000,10605100,31174200,20438300,24547900,28057200,2618,2649,2718,1598,1532,2559,2618,2618,2618,2618,2618,2618,2618,2618,2618,2618,2618,2618,2618,2618,2618
25859800,29622300,35021800,19982100,25530400,27627500,25760800,17852700,34851400,46218500,33392300,33629400,29245000,28647100,22191900,23353100,21844400,25906800,15757900,31853900,27720700,3357,3325,3735,2120,3243,3294,3357,3357,3357,3357,3357,3357,3357,3357,3357,3357,3357,3357,3357,3357,3357
65196400,45035400,16041100,14560400,23328400,27394800,33680400,39181600,41321300,36838100,41484100,41193200,43488500,41217300,32745000,36628900,37808300,38173900,47136400,25477600,39995700,5387,5063,1375,1464,3348,3373,5344,5387,5387,5387,5387,5387,5387,5387,5387,5387,5387,5387,5387,5387,5387
15759800,16022000,15829900,15996000,15850900,15871900,12579900,13569900,11801700,13684200,11836100,9731300,6381500,15890700,16183700,19161800,16085900,11801100,15637300,14164500,12885000,1666,1878,1970,1592,1556,1581,1666,1666,1666,1666,1666,1666,1666,1666,1666,1666,1666,1666,1666,1666,1666
30823900,17032100,31958200,31787800,27413600,19836000,31851800,31933400,31787200,32052900,15138900,49505100,29694800,31664900,29091800,19900900,42740100,33658300,29955400,29690200,29721400,4401,3986,4284,3667,3784,3769,4375,4401,4401,4401,4401,4401,4401,4401,4401,4401,4401,4401,4401,4401,4401
25792500,5844200,31672200,19729600,13780100,16576900,13666000,29317000,17869200,15730500,30270600,18863000,19994300,20347400,19702500,22712600,19902500,19895800,19632800,20139800,17863700,2430,2218,2220,2317,2294,2355,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430
23761000,16123500,11807400,13806300,10183100,19592500,21733500,19330000,18079700,21170500,14105400,17692600,29150700,17832000,19843100,17824600,19014200,19683300,18116500,15895900,31246700,3116,1117,1157,1210,1155,2825,2952,3116,3116,3116,3116,3116,3116,3116,3116,3116,3116,3116,3116,3116,3116
46522200,53863000,56460700,63158400,16007400,40014700,26548800,28729700,47528100,47605400,47992900,38076600,50207500,55228500,46321100,47968300,46470000,47222200,31606900,59760400,35427600,6387,7394,7441,7963,4112,4022,4085,4237,6387,6387,6387,6387,6387,6387,6387,6387,6387,6387,6387,6387,6387
13472000,24469700,17508400,17735500,19942500,16390500,15558300,15786500,27128300,19300000,18145300,17864700,19884500,14879000,14932300,25429200,16080900,18638700,14641500,16120500,23568400,2579,2302,2310,2333,2380,2454,2461,2579,2579,2579,2579,2579,2579,2579,2579,2579,2579,2579,2579,2579,2579
16090100,15822300,10051800,5765400,15672100,7293500,8397200,15731700,0,24018900,11512700,8068800,14031700,5766800,15689600,7676000,8343400,18048500,13754700,12485100,10602100,1286,1624,1235,1264,1272,1285,1286,1286,1286,1286,1286,1286,1286,1286,1286,1286,1286,1286,1286,1286,1286
63905600,37812500,35646000,35525200,57245100,59521000,59533000,45332200,62634600,56702500,63307100,55392100,53851400,47449200,49716500,49958900,46931500,58622400,47449300,49451400,50991000,7182,3536,3734,3880,6516,6324,6698,7057,7158,7182,7182,7182,7182,7182,7182,7182,7182,7182,7182,7182,7182
55731100,39412800,31906400,31952800,51623500,44450400,48511200,47910900,63730700,47650500,48185400,51712100,51216200,50017300,52042600,48200100,47548500,48042500,47896200,62413200,49716300,7356,3667,3861,4057,6645,6476,6849,7221,7332,7356,7356,7356,7356,7356,7356,7356,7356,7356,7356,7356,7356
35711500,22529000,23501400,14004800,31722400,32074200,31887600,31641600,31741800,37776200,43345700,39831000,28504000,33277300,27766100,28148200,31495300,31541500,40006200,40932400,31582700,4345,2002,2097,2187,4218,4242,4286,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325
63771800,80079500,20631400,43378500,78973000,64748400,63886300,65915300,65703900,66667600,55042400,64244600,77171300,49626700,63987200,77846700,65714700,67147700,59626300,64013100,63667800,9325,9523,3240,6247,9045,8996,8916,9204,9285,9286,9286,9286,9286,9286,9286,9286,9286,9286,9286,9286,9304
46449700,64083600,47884900,31446100,48316900,71353600,57131400,45766800,62920100,48003900,67689500,43659800,65851300,46300200,68448500,43152500,70160800,41411500,63344100,64058800,47946000,7869,8035,3541,4371,7317,7612,7512,7648,7821,7821,7822,7822,7822,7822,7822,7822,7822,7822,7822,7822,7822
117908900,142710200,71701000,54807900,63902200,111544300,86898300,71314900,73442600,70642900,71092400,74770900,75318200,66932000,79251400,79192700,86437500,73279200,79512900,70769500,79341300,10323,11014,4763,6389,6657,10026,9752,10232,10259,10259,10259,10260,10260,10260,10260,10260,10260,10260,10260,10260,10260
62937700,80207900,32206500,62036800,61423000,54092800,59972800,64361400,64110600,69736700,57299100,65207400,77812800,47814500,80154100,65310400,61374100,64172400,70091600,59909600,63528900,9317,9365,4066,4869,8151,8467,8414,8854,9213,9244,9270,9270,9270,9270,9270,9270,9270,9270,9270,9270,9270
38441000,56949100,49620400,45435200,32309500,51955900,40829800,36536300,29809100,48112200,31742600,52815800,39099300,34633000,47683600,31696500,47730800,41634600,39672800,31978300,43251500,5568,5699,5977,6895,5100,5216,5403,5527,5552,5552,5552,5552,5552,5552,5552,5552,5552,5552,5552,5552,5552
33611800,29798600,32266000,46442300,19848300,30175500,32024900,27886500,32665700,29824000,21347100,34713300,31405700,29948900,15946900,31862600,32013600,31844300,19184200,29121100,44089900,4093,4320,4401,4792,3702,3888,4005,4068,4093,4093,4093,4093,4093,4093,4093,4093,4093,4093,4093,4093,4093
53576200,79412400,83165100,75765800,66303100,29998900,66543500,60575800,64969000,46498800,77222100,65431900,111664900,47688300,74234200,53759100,64130800,63990400,64488400,59039700,53121800,10339,11484,12044,12996,9914,7150,10076,10203,10319,10319,10339,10339,10339,10339,10339,10339,10339,10339,10339,10339,10339
19714500,31857100,11897700,32102800,31798300,17824400,29976300,16112400,31906500,22353600,9786600,35885600,20278700,23828800,16082000,16156300,31941800,16101700,32116000,22509400,22814800,3322,3341,3442,3583,3747,4208,3260,3253,3322,3322,3322,3322,3322,3322,3322,3322,3322,3322,3322,3322,3322
14483700,33949000,14224100,23866100,25496000,22660500,23576000,15854500,17864100,30189300,18201100,14080500,32712000,15344500,16029300,15862800,32162000,24714400,23674200,21214800,22091900,2160,2177,2176,2191,2208,2254,2160,2160,2160,2160,2160,2160,2160,2160,2160,2160,2160,2160,2160,2160,2160
5110637000,5174473400,5141995600,5199553000,5212210000,5141336000,5114793900,5273277900,5174265200,5232185600,5177590800,5148586500,5207377900,5155174900,5198026300,5286136100,4372599900,4338945000,4880207200,4738902300,4775240100,488100,491033,491033,491065,491065,491392,491677,492314,497846,504544,504544,491409,491434,491434,514608,514608,362116,362116,488100,488100,488100
