Bucket0;;;
130512100;;;
159933700;;;
149628200;;;
156125800;;;
151849900;;;
111597000;;;
102806400;;;
121587000;;;
122737900;;;
113416500;;;
117563700;;;
119315200;;;
112694100;;;
112425000;;;
116103400;;;
133366900;;;
111150700;;;
110886200;;;
111960200;;;
106188100;;;
113412600;;;
23834;;;
13544;;;
13544;;;
14735;;;
14735;;;
9881;;;
10788;;;
13218;;;
13218;;;
12065;;;
12065;;;
11899;;;
11917;;;
11917;;;
11917;;;
11917;;;
11917;;;
11917;;;
11917;;;
11917;;;
11917;;;
113412600;11917;;
159933700;13544;;
149628200;13544;;
156125800;14735;;
151849900;14735;;
111597000;9881;;
102806400;10788;;
121587000;13218;;
122737900;13218;;
113416500;12065;;
117563700;12065;;
119315200;11899;;
112694100;11917;;
112425000;11917;;
116103400;11917;;
133366900;11917;;
111150700;11917;;
110886200;11917;;
111960200;11917;;
106188100;11917;;
130512100;11917;130512100;11917
23834;;;
13544;;;
13544;;;
14735;;;
14735;;;
9881;;;
10788;;;
13218;;;
13218;;;
12065;;;
12065;;;
11899;;;
11917;;;
11917;;;
11917;;;
11917;;;
11917;;;
11917;;;
11917;;;
11917;;;
11917;;;
